t_age,Lt_obs
0.5,106
0.5,109
0.5,104
0.5,103
0.5,116.5
0.5,128
0.5,103
0.5,122
0.5,131
0.5,142
0.5,92.5
0.5,133
0.5,116
0.5,134
0.5,137
0.5,137
1.5,172
1.5,163
1.5,167
1.5,114
1.5,130
1.5,140
1.5,122
1.5,133
1.5,149
1.5,150
1.5,126
1.5,126
1.5,107
1.5,136
1.5,145
1.5,166
1.5,165
1.5,168
1.5,148
1.5,138
1.5,163
1.5,160
2.5,162
2.5,170
2.5,175
2.5,163
2.5,215
2.5,144
2.5,155
2.5,176
2.5,154
2.5,161
2.5,170
2.5,178
2.5,184
2.5,175
2.5,166
2.5,160
2.5,177
2.5,155
2.5,178
2.5,170
2.5,133
2.5,162
2.5,147
2.5,158
2.5,172
2.5,174
2.5,138
2.5,185
2.5,146
2.5,150
2.5,155
2.5,155
2.5,162
2.5,145
2.5,153
2.5,156
2.5,160
2.5,163
2.5,154
2.5,172
3.5,178
3.5,155
3.5,188
3.5,176
3.5,183
3.5,183
3.5,165
3.5,167
3.5,182
3.5,172
3.5,180
3.5,180
3.5,178
3.5,152
3.5,162
3.5,153
3.5,173
3.5,161
3.5,150
3.5,168
3.5,148
3.5,160
3.5,174
3.5,166
3.5,166
3.5,165
3.5,145
3.5,155
3.5,167
3.5,155
3.5,178
3.5,160
3.5,180
3.5,148
3.5,144
3.5,166
3.5,178
3.5,191
3.5,177
4.5,176
4.5,203
4.5,184
4.5,154
4.5,178
4.5,183
4.5,172
4.5,180
4.5,176
4.5,170
4.5,177
4.5,194
4.5,175
4.5,130
4.5,155
4.5,178
4.5,175
4.5,168
4.5,148
4.5,188
4.5,160
4.5,172
4.5,180
4.5,180
4.5,165
4.5,170
4.5,190
4.5,162
4.5,177
4.5,173
4.5,169
4.5,174
4.5,165
4.5,173
5.5,180
5.5,184
5.5,202
5.5,185
5.5,182
5.5,178
5.5,191
5.5,180
5.5,167
5.5,177
5.5,190
5.5,166
5.5,182
5.5,176
5.5,176
5.5,178
5.5,158
5.5,174
5.5,176
5.5,182
5.5,174
6.5,187
6.5,178
6.5,183
6.5,186
6.5,194
6.5,164
6.5,194
6.5,180
6.5,180
6.5,174
6.5,177
6.5,172
6.5,186
6.5,181
6.5,172
6.5,192
6.5,194
6.5,185
6.5,198
7.5,192
7.5,187
7.5,179
7.5,197
7.5,185
7.5,190
7.5,194
7.5,195
7.5,200
7.5,200
7.5,192
7.5,198
7.5,190
7.5,183
7.5,191
7.5,195
7.5,175
7.5,196
7.5,194
8.5,179
8.5,215
8.5,196
8.5,201
8.5,188
8.5,192
8.5,205
8.5,187
8.5,186
8.5,195
8.5,183
8.5,196
8.5,170
8.5,194
8.5,197
8.5,182
8.5,202
8.5,199
9.5,193
9.5,177
9.5,190
9.5,190
9.5,201
9.5,197
9.5,199
9.5,210
9.5,188
9.5,208
9.5,208
9.5,195
9.5,180
9.5,176
9.5,188
9.5,213
9.5,202
9.5,207
10.5,229
10.5,194
10.5,177
10.5,198
10.5,188
10.5,210
10.5,194
10.5,205
10.5,199
10.5,192
10.5,204
10.5,197
10.5,192
10.5,205
10.5,187
10.5,192
11.5,197
11.5,218
11.5,211
11.5,177
11.5,233
11.5,194
11.5,190
11.5,210
11.5,190
11.5,203
11.5,186
11.5,200
11.5,192
11.5,226
12.5,188
12.5,202
12.5,195
12.5,200
12.5,203
12.5,222
12.5,195
12.5,198
12.5,182
12.5,186
13.5,193
13.5,203
13.5,193
13.5,217
13.5,196
13.5,198
13.5,198
13.5,200
13.5,200
13.5,205
14.5,204
14.5,196
14.5,207
14.5,211
14.5,201
14.5,231
14.5,216
14.5,190
14.5,207
14.5,179
14.5,194
15.5,200
15.5,190
15.5,215
15.5,194
15.5,232
15.5,205
15.5,216
15.5,190
15.5,215
15.5,217
15.5,213
15.5,215
15.5,203
15.5,196
16.5,200
16.5,162
16.5,203
16.5,197
16.5,204
16.5,220
16.5,190
16.5,210
16.5,217
16.5,198
16.5,206
16.5,200
17.5,195
17.5,215
17.5,223
17.5,212
18.5,225
18.5,214
18.5,195
18.5,230
18.5,190
18.5,213
18.5,198
18.5,189
19.5,215
19.5,223
20.5,202
20.5,210
20.5,217
21.5,228
21.5,212
21.5,214
21.5,198
21.5,203
22.5,200
22.5,204
24.5,227
26.5,222
27.5,234
29.5,230
